#id;Uhrzeit;Zugnummer;in Richtung;über;Gleis;
0;00:00;IC 747;Zürich HB;Olten  00:00 - Aarau  00:08 - Zürich HB  00:33;-1;
1;00:04;IC 746;Bern;Olten  00:04 - Bern  00:31;-1;
2;00:33;EC 158;Basel SBB;Olten  00:33 - Liestal  00:48 - Basel SBB  00:59;10;
3;00:33;IC 849;Zürich HB;Olten  00:33 - Zürich HB  01:04;-1;
4;00:35;IC 800;Bern;Olten  00:35 - Bern  01:02;-1;
5;00:35;ICN 1549;Zürich HB;Olten  00:35 - Aarau  00:43 - Lenzburg  00:51 - Zürich HB  01:12;2;
6;00:37;IC 1096;Basel SBB;Olten  00:37 - Liestal  00:52 - Basel SBB  01:03;-1;
7;05:30;ICN 653;Lugano;Olten  05:30 - Luzern  06:05 - Arth-Goldau  06:44 - Bellinzona  08:23 - Lugano  08:46;12;
8;05:57;IC 707;St. Gallen;Olten  05:57 - Zürich HB  06:28 - Zürich Flughafen  06:50 - Winterthur  07:05 - Wil SG  07:24 - Uzwil  07:32 - Flawil  07:38 - Gossau SG  07:43 - St. Gallen  07:53;-1;
9;05:59;ICE 1055;Interlaken Ost;Olten  05:59 - Bern  06:27 - Thun  06:52 - Spiez  07:02 - Interlaken West  07:22 - Interlaken Ost  07:28;12;
10;06:03;IC 706;Genf-Flughafen;Olten  06:03 - Bern  06:28 - Fribourg  06:55 - Lausanne  07:40 - Genf  08:15 - Genf-Flughafen  08:24;8;
11;06:20;ICN 509;St. Gallen;Olten  06:20 - Aarau  06:28 - Zürich HB  06:56 - Zürich Flughafen  07:20 - Winterthur  07:35 - Wil SG  07:52 - Gossau SG  08:06 - St. Gallen  08:15;7;
12;06:29;IC 957;Interlaken Ost;Olten  06:29 - Bern  06:56 - Thun  07:21 - Spiez  07:31 - Interlaken West  07:51 - Interlaken Ost  07:57;11;
